"","ID","E1","E2","E3","E4","E5","E6"
"1",110,-729.597678396805,-310.707922602725,695.355097042261,-283.644599031492,114.523388506075,-182.420306547567
"2",56,1243.5393720756,192.02121566074,1210.05648064195,602.200286938153,1591.06095592779,1190.02388458277
"3",996,-300.007066652066,1491.1055840939,792.087176552102,1085.09371703243,1918.21961691654,387.220214519128
"4",347,831.177404977296,355.748250267344,825.913444787873,494.971853450301,1992.65691076197,637.253083900149
"5",362,1468.72671948634,108.957588132136,550.401696021778,1104.03030286584,-88.1650672448303,NA
"6",1285,316.572619737661,-183.238327747565,-405.675332611292,-768.096659145201,1131.56455963294,1560.67939342464
"7",1118,-138.063832531011,1130.50076071978,632.957535875096,460.432101288106,1535.83599533916,1350.23186848978
"8",90,382.614420862156,204.859426773721,430.559293800113,278.705633054246,NA,1027.29027766278
"9",511,1462.84021116022,-194.482799045769,-130.837288842439,662.723047364304,760.941443955998,-282.922973486226
"10",1030,306.405864994308,215.860240547258,-140.440529257078,727.150608171092,963.73348075738,1637.12075249982
"11",888,223.898406383654,1048.93158908207,442.459105005345,511.487868913697,483.529817763676,526.063282927025
"12",815,-309.610767724879,-346.792760392221,1309.30801357394,273.303544561263,1006.24813124069,1114.57103331229
"13",1302,810.149966050423,1182.34717554106,307.307180216365,511.18126141768,677.328617376866,759.500202772052
"14",1145,387.232499831096,-352.217488731157,859.310100789694,937.215564448417,287.123651344653,877.412788101256
"15",877,447.23725419654,-128.379943108246,707.995018249345,1016.71931968789,537.647382580156,1388.78947476522
"16",1058,654.095053929199,1005.29328971218,-563.212659096425,389.370924171778,907.948414406023,314.887378235396
"17",523,NA,-42.7652753795707,1245.69553211755,1217.69477137675,147.84143226343,604.642217046934
"18",900,955.634522600858,NA,950.620270683507,-375.640182141462,2228.48817234567,1319.09005774757
"19",1066,859.190793642915,-138.470152918,5.60433914593273,-331.68120085293,739.903285177217,249.357582721743
"20",960,1794.19779609958,641.146586585003,-219.688528971688,902.50727704947,1425.13940821489,681.55597926284
"21",1111,NA,656.367772630791,588.58324946485,-52.7293149427016,1009.29369446835,-122.738693645771
"22",1385,450.198002236146,699.668861222208,690.486604401702,1184.80330342939,652.584136006409,551.382396185675
"23",137,-213.568600942647,638.181785742775,-453.562488475445,537.27858266445,481.538010784282,653.836890674094
"24",404,886.01719871452,542.501437679503,582.758553076318,-241.176735918802,NA,1186.36894069749
"25",568,786.102070848995,-141.499072605539,102.585577187727,924.239321180043,377.466329860813,1259.61336983372
"26",1093,474.114802177023,NA,1020.90428720608,442.69322661933,895.490312422572,1000.41280978718
"27",565,898.51419330543,834.107875743682,906.913737662239,1772.06378294587,667.56932973826,1336.60697450326
"28",1177,1257.95665460486,-10.0822465273776,1115.33604328498,198.629329550029,1272.81248816072,764.82879467691
"29",125,-392.897299042185,1263.33557162122,-1041.40261134446,159.6996095467,183.101918160831,627.873210766277
"30",1252,116.322641889252,-28.0468153403102,-0.235167003118477,-324.339043939698,641.087973045668,-314.918697864769
"31",845,696.100451060787,593.299223565765,586.151836765555,1156.53662973089,1817.96762479207,-195.167169641383
"32",676,-402.879397418144,633.472443243132,586.657609775682,606.421039713865,649.422678257413,655.943485527557
"33",550,922.576754999849,414.485463297996,225.342350468967,1524.74624378421,1410.58820957651,-383.552691330392
"34",980,1236.12449791365,783.674664408226,1276.40589819438,-101.45914048792,855.13878787705,1290.84623374479
"35",81,734.611007546597,1668.16484073915,260.845889245321,636.705112711534,-432.290005758036,1140.4039672279
"36",572,-334.855101770212,NA,-343.248639476958,338.539409861348,93.1932444978409,1019.54263108802
"37",638,-274.187047701153,628.38363163555,1718.86724780356,205.061842725668,464.574778688165,NA
"38",232,662.758109017251,404.771472501439,1025.986177943,-194.090168521055,1379.14251424191,218.382055430245
"39",740,336.837142293905,-165.052945603723,607.576425438899,781.754751182763,629.632375585189,1188.56945671233
"40",552,659.131304078422,821.501984731625,764.44295701204,210.655307882307,1292.80105815029,581.367219131909
"41",1061,97.7978477667821,170.658489623282,695.49788352836,-327.034021003947,NA,1226.04559832381
"42",1329,2030.87183233101,649.950041983434,753.931892606274,407.543754286138,1141.486301894,824.797801404808
"43",239,-337.958615719067,-99.7138124423856,596.219305140084,478.597350805243,744.264476136957,874.696121878939
"44",942,1223.47331739296,649.01077662857,1051.06946266975,346.072565213957,1446.50757720731,1102.15896822134
"45",850,274.283185879306,-276.489211276122,558.20838034792,-13.2151285327815,839.918144119974,1028.13891769809
"46",126,1364.33038188575,579.919386027524,166.903039055869,848.454442571088,1751.20922873854,1814.3931840127
"47",1150,694.277802138889,446.930896564043,425.574460952498,435.968619619466,746.006472030113,378.228753772372
"48",790,-438.787744987371,768.930622301589,-87.7768358656838,1259.229109693,1121.64786539055,2306.14468342232
"49",1079,-202.773022726119,-131.574544219586,-367.240827994201,505.69813066275,617.119341741841,-192.618017699536
"50",750,-112.713137682684,914.734755923856,1086.56693084896,292.644189778529,1439.6585838908,517.279366260332
"51",455,1102.9038382788,1592.83198979236,1525.79315187641,121.726914534878,440.768017598665,379.285318565107
"52",1119,695.56439949444,250.04421862287,-83.0750345379408,713.443689216392,1971.32521063945,394.314578653629
"53",714,936.816686550385,107.14787508251,-42.3199092681112,29.7932390121236,709.936964834242,362.61272037451
"54",1096,135.359795836235,505.927903320509,661.344581893539,-1172.82137940238,1331.9036355709,907.143286244463
